0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/img/banner3-01-01.png HTTP/1.1" 200 2549653
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/jquery.min.js HTTP/1.1" 404 1034
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/bootstrap.min.js HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/material.min.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/nouislider.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/bootstrap-datepicker.js HTTP/1.1" 404 1054
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:57 +0800] "GET /TixToGo/js/material-kit.js HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
0:0:0:0:0:0:0:1 - - [05/Apr/2017:15:00:58 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1022
