0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:06 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:07 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:07 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:07 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:07 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:07 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:11 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:11 +0800] "GET /img/arrow-left.png HTTP/1.1" 404 1088
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:11 +0800] "GET /img/arrow-right.png HTTP/1.1" 404 1089
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/adminHomepage.jsp HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/bootstrap-material-design-font/css/material.css HTTP/1.1" 200 48706
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/web/assets/mobirise-icons/mobirise-icons.css HTTP/1.1" 200 6330
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/tether/tether.min.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/et-line-font-plugin/style.css HTTP/1.1" 200 7187
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 100580
